License;Round;Bidder;Tie;Bid (GBP);Bid (USD)
E;88;WORLDCOM;FALSE;1732700000;2798310500
A;89;3GUK;FALSE;2001100000;3231776500
B;89;VODAFONE;FALSE;2021100000;3264076500
C;89;NTL MOBILE;FALSE;1732700000;2798310500
E;89;ORANGE;FALSE;1859400000;3002931000
D;89;BT3G;TRUE;1802900000;2911683500
D;89;EPSILON;TRUE;1802900000;2911683500
D;89;ONE2ONE;TRUE;1802900000;2911683500
D;89;ONE.TEL;TRUE;1802900000;2911683500
D;89;SPECTRUMCO;TRUE;1802900000;2911683500
D;89;TIW;TRUE;1802900000;2911683500
A;90;3GUK;FALSE;2001100000;3231776500
B;90;BT3G;FALSE;2122200000;3427353000
C;90;WORLDCOM;FALSE;1879500000;3035392500
D;90;TELEFONICA;FALSE;1893100000;3057356500
E;90;ORANGE;FALSE;1859400000;3002931000
A;91;SPECTRUMCO;FALSE;2101200000;3393438000
B;91;VODAFONE;FALSE;2228400000;3598866000
C;91;WORLDCOM;FALSE;1879500000;3035392500
D;91;TELEFONICA;FALSE;1893100000;3057356500
E;91;NTL MOBILE;FALSE;1952500000;3153287500
A;92;SPECTRUMCO;FALSE;2101200000;3393438000
B;92;VODAFONE;FALSE;2228400000;3598866000
D;92;TELEFONICA;FALSE;1893100000;3057356500
E;92;ORANGE;FALSE;2076900000;3354193500
C;92;BT3G;TRUE;1973500000;3187202500
C;92;EPSILON;TRUE;1973500000;3187202500
C;92;ONE2ONE;TRUE;1973500000;3187202500
C;92;ONE.TEL;TRUE;1973500000;3187202500
C;92;TIW;TRUE;1973500000;3187202500
A;93;SPECTRUMCO;FALSE;2101200000;3393438000
B;93;VODAFONE;FALSE;2228400000;3598866000
C;93;ONE.TEL;FALSE;1973500000;3187202500
D;93;NTL MOBILE;FALSE;2000000000;3230000000
E;93;ORANGE;FALSE;2076900000;3354193500
A;94;TELEFONICA;FALSE;2210000000;3569150000
B;94;BT3G;FALSE;2339900000;3778938500
D;94;NTL MOBILE;FALSE;2000000000;3230000000
E;94;ORANGE;FALSE;2076900000;3354193500
C;94;EPSILON;TRUE;2072200000;3346603000
C;94;ONE2ONE;TRUE;2072200000;3346603000
C;94;TIW;TRUE;2072200000;3346603000
C;94;WORLDCOM;TRUE;2072200000;3346603000
A;95;TELEFONICA;FALSE;2210000000;3569150000
B;95;VODAFONE;FALSE;2456900000;3967893500
C;95;TIW;FALSE;2072200000;3346603000
D;95;WORLDCOM;FALSE;2121600000;3426384000
E;95;ORANGE;FALSE;2076900000;3354193500
A;96;TELEFONICA;FALSE;2210000000;3569150000
B;96;VODAFONE;FALSE;2456900000;3967893500
C;96;NTL MOBILE;FALSE;2180000000;3520700000
D;96;WORLDCOM;FALSE;2121600000;3426384000
E;96;ORANGE;FALSE;2076900000;3354193500
A;97;TELEFONICA;FALSE;2210000000;3569150000
B;97;VODAFONE;FALSE;2456900000;3967893500
C;97;NTL MOBILE;FALSE;2180000000;3520700000
D;97;WORLDCOM;FALSE;2121600000;3426384000
E;97;BT3G;TRUE;2180800000;3521992000
E;97;ONE2ONE;TRUE;2180800000;3521992000
E;97;ONE.TEL;TRUE;2180800000;3521992000
E;97;TIW;TRUE;2180800000;3521992000
A;98;TIW;FALSE;2320500000;3747607500
B;98;VODAFONE;FALSE;2456900000;3967893500
C;98;NTL MOBILE;FALSE;2180000000;3520700000
E;98;ORANGE;FALSE;2334100000;3769571500
D;98;BT3G;TRUE;2227700000;3597735500
D;98;ONE2ONE;TRUE;2227700000;3597735500
A;99;TELEFONICA;FALSE;2439600000;3939954000
B;99;BT3G;FALSE;2579800000;4166377000
C;99;WORLDCOM;FALSE;2289000000;3696735000
D;99;ONE2ONE;FALSE;2227700000;3597735500
E;99;ORANGE;FALSE;2334100000;3769571500
A;100;NTL MOBILE;FALSE;2601000000;4200615000
B;100;VODAFONE;FALSE;2708800000;4374712000
C;100;WORLDCOM;FALSE;2289000000;3696735000
D;100;TIW;FALSE;2339100000;3777646500
E;100;ORANGE;FALSE;2334100000;3769571500
A;101;NTL MOBILE;FALSE;2601000000;4200615000
B;101;BT3G;FALSE;2844300000;4593544500
C;101;TELEFONICA;FALSE;2419400000;3907331000
D;101;TIW;FALSE;2339100000;3777646500
E;101;ORANGE;FALSE;2334100000;3769571500
A;102;WORLDCOM;FALSE;2731100000;4410726500
B;102;VODAFONE;FALSE;2986600000;4823359000
C;102;TELEFONICA;FALSE;2419400000;3907331000
D;102;TIW;FALSE;2339100000;3777646500
E;102;ONE2ONE;FALSE;2450900000;3958203500
A;103;WORLDCOM;FALSE;2731100000;4410726500
B;103;BT3G;FALSE;3136000000;5064640000
C;103;TELEFONICA;FALSE;2419400000;3907331000
D;103;NTL MOBILE;FALSE;2456100000;3966601500
E;103;ORANGE;FALSE;2591500000;4185272500
A;104;WORLDCOM;FALSE;2731100000;4410726500
B;104;VODAFONE;FALSE;3292800000;5317872000
C;104;ONE2ONE;FALSE;2540400000;4102746000
D;104;TIW;FALSE;2579000000;4165085000
E;104;ORANGE;FALSE;2591500000;4185272500
A;105;WORLDCOM;FALSE;2731100000;4410726500
B;105;BT3G;FALSE;3457500000;5583862500
C;105;ONE2ONE;FALSE;2540400000;4102746000
D;105;NTL MOBILE;FALSE;2708000000;4373420000
E;105;ORANGE;FALSE;2591500000;4185272500
A;106;TIW;FALSE;2867700000;4631335500
B;106;VODAFONE;FALSE;3630400000;5863096000
C;106;ONE2ONE;FALSE;2540400000;4102746000
D;106;NTL MOBILE;FALSE;2708000000;4373420000
E;106;ORANGE;FALSE;2591500000;4185272500
A;107;TELEFONICA;FALSE;3002500000;4849037500
B;107;BT3G;FALSE;3775700000;6097755500
C;107;WORLDCOM;FALSE;2741000000;4426715000
D;107;NTL MOBILE;FALSE;2708000000;4373420000
E;107;ORANGE;FALSE;2591500000;4185272500
A;108;TIW;FALSE;3122600000;5042999000
B;108;VODAFONE;FALSE;3926800000;6341782000
C;108;WORLDCOM;FALSE;2741000000;4426715000
D;108;NTL MOBILE;FALSE;2708000000;4373420000
E;108;ONE2ONE;FALSE;2721100000;4394576500
A;109;TIW;FALSE;3122600000;5042999000
B;109;BT3G;FALSE;4083900000;6595498500
C;109;WORLDCOM;FALSE;2741000000;4426715000
D;109;TELEFONICA;FALSE;2843400000;4592091000
E;109;ORANGE;FALSE;2861100000;4620676500
A;110;NTL MOBILE;FALSE;3247600000;5244874000
B;110;VODAFONE;FALSE;4247300000;6859389500
C;110;ONE2ONE;FALSE;2850700000;4603880500
D;110;TELEFONICA;FALSE;2843400000;4592091000
E;110;ORANGE;FALSE;2861100000;4620676500
A;111;TIW;FALSE;3361300000;5428499500
B;111;BT3G;FALSE;4396000000;7099540000
C;111;WORLDCOM;FALSE;2950500000;4765057500
D;111;TELEFONICA;FALSE;2843400000;4592091000
E;111;ORANGE;FALSE;2861100000;4620676500
A;112;NTL MOBILE;FALSE;3479000000;5618585000
B;112;VODAFONE;FALSE;4549900000;7348088500
C;112;WORLDCOM;FALSE;2950500000;4765057500
D;112;ONE2ONE;FALSE;2957200000;4775878000
E;112;ORANGE;FALSE;2861100000;4620676500
A;113;TIW;FALSE;3600800000;5815292000
B;113;VODAFONE;FALSE;4549900000;7348088500
C;113;WORLDCOM;FALSE;2950500000;4765057500
D;113;ONE2ONE;FALSE;2957200000;4775878000
E;113;TELEFONICA;FALSE;2985400000;4821421000
A;114;TIW;FALSE;3600800000;5815292000
B;114;VODAFONE;FALSE;4549900000;7348088500
D;114;ONE2ONE;FALSE;2957200000;4775878000
E;114;ORANGE;FALSE;3105300000;5015059500
C;114;BT3G;TRUE;3053800000;4931887000
C;114;NTL MOBILE;TRUE;3053800000;4931887000
A;115;WORLDCOM;FALSE;3774000000;6095010000
B;115;VODAFONE;FALSE;4549900000;7348088500
C;115;BT3G;FALSE;3053800000;4931887000
D;115;TELEFONICA;FALSE;3060800000;4943192000
E;115;ORANGE;FALSE;3105300000;5015059500
A;116;TIW;FALSE;3906100000;6308351500
B;116;VODAFONE;FALSE;4549900000;7348088500
C;116;NTL MOBILE;FALSE;3169900000;5119388500
D;116;TELEFONICA;FALSE;3060800000;4943192000
E;116;ORANGE;FALSE;3105300000;5015059500
A;117;TIW;FALSE;3906100000;6308351500
B;117;VODAFONE;FALSE;4549900000;7348088500
C;117;NTL MOBILE;FALSE;3169900000;5119388500
D;117;WORLDCOM;FALSE;3173000000;5124395000
E;117;ORANGE;FALSE;3105300000;5015059500
A;118;TIW;FALSE;3906100000;6308351500
B;118;VODAFONE;FALSE;4549900000;7348088500
C;118;NTL MOBILE;FALSE;3169900000;5119388500
D;118;WORLDCOM;FALSE;3173000000;5124395000
E;118;TELEFONICA;FALSE;3216000000;5193840000
A;119;TIW;FALSE;3906100000;6308351500
B;119;VODAFONE;FALSE;4549900000;7348088500
D;119;WORLDCOM;FALSE;3173000000;5124395000
E;119;ORANGE;FALSE;3351900000;5413318500
C;119;BT3G;TRUE;3280900000;5298653500
C;119;ONE2ONE;TRUE;3280900000;5298653500
A;120;TIW;FALSE;3906100000;6308351500
B;120;VODAFONE;FALSE;4549900000;7348088500
C;120;BT3G;FALSE;3280900000;5298653500
D;120;NTL MOBILE;FALSE;3297100000;5324816500
E;120;ORANGE;FALSE;3351900000;5413318500
A;121;TIW;FALSE;3906100000;6308351500
B;121;VODAFONE;FALSE;4549900000;7348088500
C;121;TELEFONICA;FALSE;3405600000;5500044000
D;121;NTL MOBILE;FALSE;3297100000;5324816500
E;121;ORANGE;FALSE;3351900000;5413318500
A;122;TIW;FALSE;3906100000;6308351500
B;122;BT3G;FALSE;4709200000;7605358000
C;122;TELEFONICA;FALSE;3405600000;5500044000
D;122;ONE2ONE;FALSE;3413000000;5511995000
E;122;ORANGE;FALSE;3351900000;5413318500
A;123;NTL MOBILE;FALSE;4042900000;6529283500
B;123;VODAFONE;FALSE;4878100000;7878131500
C;123;TELEFONICA;FALSE;3405600000;5500044000
D;123;ONE2ONE;FALSE;3413000000;5511995000
E;123;ORANGE;FALSE;3351900000;5413318500
A;124;NTL MOBILE;FALSE;4042900000;6529283500
B;124;BT3G;FALSE;5000100000;8075161500
C;124;TELEFONICA;FALSE;3405600000;5500044000
D;124;ONE2ONE;FALSE;3413000000;5511995000
E;124;TIW;FALSE;3469300000;5602919500
A;125;NTL MOBILE;FALSE;4042900000;6529283500
B;125;VODAFONE;FALSE;5125200000;8277198000
C;125;TELEFONICA;FALSE;3405600000;5500044000
D;125;ONE2ONE;FALSE;3413000000;5511995000
E;125;ORANGE;FALSE;3646800000;5889582000
A;126;TIW;FALSE;4144000000;6692560000
B;126;VODAFONE;FALSE;5125200000;8277198000
C;126;BT3G;FALSE;3490800000;5637642000
D;126;ONE2ONE;FALSE;3413000000;5511995000
E;126;ORANGE;FALSE;3646800000;5889582000
A;127;NTL MOBILE;FALSE;4277700000;6908485500
B;127;VODAFONE;FALSE;5125200000;8277198000
C;127;BT3G;FALSE;3490800000;5637642000
D;127;TELEFONICA;FALSE;3500000000;5652500000
E;127;ORANGE;FALSE;3646800000;5889582000
A;128;NTL MOBILE;FALSE;4277700000;6908485500
B;128;VODAFONE;FALSE;5125200000;8277198000
C;128;ONE2ONE;FALSE;3578600000;5779439000
D;128;TIW;FALSE;3590200000;5798173000
E;128;ORANGE;FALSE;3646800000;5889582000
A;129;NTL MOBILE;FALSE;4277700000;6908485500
B;129;BT3G;FALSE;5253400000;8484241000
C;129;TELEFONICA;FALSE;3668100000;5923981500
D;129;TIW;FALSE;3590200000;5798173000
E;129;ORANGE;FALSE;3646800000;5889582000
A;130;NTL MOBILE;FALSE;4277700000;6908485500
B;130;VODAFONE;FALSE;5384800000;8696452000
C;130;TELEFONICA;FALSE;3668100000;5923981500
D;130;ONE2ONE;FALSE;3680000000;5943200000
E;130;ORANGE;FALSE;3646800000;5889582000
A;131;TIW;FALSE;4384700000;7081290500
B;131;BT3G;FALSE;5519500000;8913992500
C;131;TELEFONICA;FALSE;3668100000;5923981500
D;131;ONE2ONE;FALSE;3680000000;5943200000
E;131;ORANGE;FALSE;3646800000;5889582000
A;132;TIW;FALSE;4384700000;7081290500
B;132;VODAFONE;FALSE;5657500000;9136862500
C;132;NTL MOBILE;FALSE;3759900000;6072238500
D;132;ONE2ONE;FALSE;3680000000;5943200000
E;132;ORANGE;FALSE;3646800000;5889582000
A;133;TIW;FALSE;4384700000;7081290500
B;133;VODAFONE;FALSE;5657500000;9136862500
C;133;NTL MOBILE;FALSE;3759900000;6072238500
D;133;ONE2ONE;FALSE;3680000000;5943200000
E;133;BT3G;FALSE;3738000000;6036870000
A;134;TIW;FALSE;4384700000;7081290500
B;134;VODAFONE;FALSE;5657500000;9136862500
C;134;NTL MOBILE;FALSE;3759900000;6072238500
D;134;ONE2ONE;FALSE;3680000000;5943200000
E;134;ORANGE;FALSE;3832000000;6188680000
A;135;TIW;FALSE;4384700000;7081290500
B;135;VODAFONE;FALSE;5657500000;9136862500
C;135;NTL MOBILE;FALSE;3759900000;6072238500
D;135;BT3G;FALSE;3772000000;6091780000
E;135;ORANGE;FALSE;3832000000;6188680000
A;136;TIW;FALSE;4384700000;7081290500
B;136;VODAFONE;FALSE;5657500000;9136862500
C;136;NTL MOBILE;FALSE;3759900000;6072238500
D;136;ONE2ONE;FALSE;3828600000;6183189000
E;136;ORANGE;FALSE;3832000000;6188680000
A;137;TIW;FALSE;4384700000;7081290500
B;137;VODAFONE;FALSE;5657500000;9136862500
C;137;BT3G;FALSE;3853900000;6224048500
D;137;ONE2ONE;FALSE;3828600000;6183189000
E;137;ORANGE;FALSE;3832000000;6188680000
A;138;TIW;FALSE;4384700000;7081290500
B;138;VODAFONE;FALSE;5657500000;9136862500
C;138;BT3G;FALSE;3853900000;6224048500
D;138;NTL MOBILE;FALSE;3886100000;6276051500
E;138;ORANGE;FALSE;3832000000;6188680000
A;139;TIW;FALSE;4384700000;7081290500
B;139;VODAFONE;FALSE;5657500000;9136862500
C;139;BT3G;FALSE;3853900000;6224048500
D;139;NTL MOBILE;FALSE;3886100000;6276051500
E;139;ONE2ONE;FALSE;3889500000;6281542500
A;140;TIW;FALSE;4384700000;7081290500
B;140;VODAFONE;FALSE;5657500000;9136862500
C;140;BT3G;FALSE;3853900000;6224048500
D;140;NTL MOBILE;FALSE;3886100000;6276051500
E;140;ORANGE;FALSE;3947900000;6375858500
A;141;TIW;FALSE;4384700000;7081290500
B;141;VODAFONE;FALSE;5657500000;9136862500
C;141;ONE2ONE;FALSE;3911800000;6317557000
D;141;NTL MOBILE;FALSE;3886100000;6276051500
E;141;ORANGE;FALSE;3947900000;6375858500
A;142;TIW;FALSE;4384700000;7081290500
B;142;BT3G;FALSE;5799000000;9365385000
C;142;ONE2ONE;FALSE;3911800000;6317557000
D;142;NTL MOBILE;FALSE;3886100000;6276051500
E;142;ORANGE;FALSE;3947900000;6375858500
A;143;TIW;FALSE;4384700000;7081290500
B;143;VODAFONE;FALSE;5964000000;9631860000
C;143;ONE2ONE;FALSE;3911800000;6317557000
D;143;NTL MOBILE;FALSE;3886100000;6276051500
E;143;ORANGE;FALSE;3947900000;6375858500
A;144;TIW;FALSE;4384700000;7081290500
B;144;VODAFONE;FALSE;5964000000;9631860000
C;144;ONE2ONE;FALSE;3911800000;6317557000
D;144;BT3G;FALSE;3944400000;6370206000
E;144;ORANGE;FALSE;3947900000;6375858500
A;145;TIW;FALSE;4384700000;7081290500
B;145;VODAFONE;FALSE;5964000000;9631860000
C;145;NTL MOBILE;FALSE;3970500000;6412357500
D;145;BT3G;FALSE;3944400000;6370206000
E;145;ORANGE;FALSE;3947900000;6375858500
A;146;TIW;FALSE;4384700000;7081290500
B;146;VODAFONE;FALSE;5964000000;9631860000
C;146;NTL MOBILE;FALSE;3970500000;6412357500
D;146;ONE2ONE;FALSE;4003600000;6465814000
E;146;ORANGE;FALSE;3947900000;6375858500
A;147;TIW;FALSE;4384700000;7081290500
B;147;VODAFONE;FALSE;5964000000;9631860000
C;147;NTL MOBILE;FALSE;3970500000;6412357500
D;147;ONE2ONE;FALSE;4003600000;6465814000
E;147;BT3G;FALSE;4007200000;6471628000
A;148;TIW;FALSE;4384700000;7081290500
B;148;VODAFONE;FALSE;5964000000;9631860000
C;148;NTL MOBILE;FALSE;3970500000;6412357500
D;148;ONE2ONE;FALSE;4003600000;6465814000
E;148;ORANGE;FALSE;4095000000;6613425000
A;149;TIW;FALSE;4384700000;7081290500
B;149;VODAFONE;FALSE;5964000000;9631860000
C;149;BT3G;FALSE;4030100000;6508611500
D;149;ONE2ONE;FALSE;4003600000;6465814000
E;149;ORANGE;FALSE;4095000000;6613425000
A;150;TIW;FALSE;4384700000;7081290500
B;150;VODAFONE;FALSE;5964000000;9631860000
C;150;BT3G;FALSE;4030100000;6508611500
D;150;ONE2ONE;FALSE;4003600000;6465814000
E;150;ORANGE;FALSE;4095000000;6613425000
